,LC1,LU1,enh,size,base,reclass_enh,reclass_base
0,A11,U111,1,35,1,1,1
1,A11,U221,2,3,2,1,1
2,A11,U223,2,2,2,1,1
3,A11,U224,2,2,2,1,1
4,A11,U226,2,7,2,1,1
5,A11,U227,2,4,2,1,1
6,A11,U228,2,1,2,1,1
7,A11,U317,2,19,2,1,1
8,A11,U321,2,2,2,1,1
9,A11,U322,2,1,2,1,1
10,A11,U330,1,7,1,1,1
11,A11,U341,2,20,2,1,1
12,A11,U342,2,2,2,1,1
13,A11,U350,2,18,2,1,1
14,A11,U361,2,10,2,1,1
15,A11,U362,2,2,2,1,1
16,A11,U370,1,271,2,1,1
17,A11,U411,1,4,1,1,1
18,A11,U414,1,2,1,1,1
19,A12,U140,2,1,2,1,1
20,A12,U210,2,1,2,1,1
21,A12,U226,2,2,2,1,1
22,A12,U317,2,1,2,1,1
23,A12,U330,2,1,2,1,1
24,A12,U341,2,3,2,1,1
25,A12,U342,2,1,2,1,1
26,A12,U350,2,2,2,1,1
27,A12,U361,2,1,2,1,1
28,A12,U370,1,14,1,1,1
29,A13,U111,2,3,2,1,1
30,A13,U341,2,1,2,1,1
31,A21,U111,1,12,1,1,1
32,A21,U140,3,3,6,1,1
33,A21,U210,-1,1,-1,-1,-1
34,A21,U221,3,2,2,1,1
35,A21,U223,3,4,2,1,1
36,A21,U225,3,1,2,1,1
37,A21,U226,3,1,2,1,1
38,A21,U227,3,1,2,1,1
39,A21,U311,2,2,2,1,1
40,A21,U312,7,14,3,1,1
41,A21,U314,7,1,5,1,1
42,A21,U316,3,1,2,1,1
43,A21,U317,3,21,2,1,1
44,A21,U318,3,2,2,1,1
45,A21,U319,3,1,2,1,1
46,A21,U321,3,2,2,1,1
47,A21,U322,8,2,6,5,5
48,A21,U330,8,3,6,5,5
49,A21,U341,3,24,2,1,1
50,A21,U350,3,23,2,1,1
51,A21,U361,3,3,2,1,1
52,A21,U362,3,6,2,1,1
53,A21,U370,1,55,1,1,1
54,A21,U411,2,1,2,1,1
55,A21,U414,1,2,1,1,1
56,A21,U415,-1,2,-1,-1,-1
57,A22,U111,-1,1,-1,-1,-1
58,A22,U120,11;12,8,11;12,3;4,3;4
59,A22,U226,7,1,3,1,1
60,A22,U311,7,21,3,1,1
61,A22,U312,7,384,3,1,1
62,A22,U314,7,1,5,1,1
63,A22,U317,3,2,2,1,1
64,A22,U318,-1,1,-1,-1,-1
65,A22,U330,8,1,6,5,5
66,A22,U341,3,2,2,1,1
67,A22,U350,3,4,2,1,1
68,A22,U361,3,1,1,1,1
69,A22,U370,3,6,7,1,1
70,A30,U111,3,4,1,1,1
71,A30,U210,3,5,2,1,1
72,A30,U223,3,1,2,1,1
73,A30,U225,3,1,2,1,1
74,A30,U311,8,1,3,1,1
75,A30,U318,-1,1,-1,-1,-1
76,A30,U319,-1,26,-1,-1,-1
77,A30,U321,3,1,2,1,1
78,A30,U322,8,1,6,5,5
79,A30,U330,8,2,6,5,5
80,A30,U341,3,1,2,1,1
81,A30,U361,3,1,1,1,1
82,A30,U370,3,1,1,1,1
83,B11,U111,9,1547,8,6,6
84,B12,U111,9,79,8,6,6
85,B13,U111,9,697,8,6,6
86,B13,U112,9,2,8,6,6
87,B14,U111,9,174,8,6,6
88,B15,U111,9,141,8,6,6
89,B16,U111,9,958,8,6,6
90,B16,U112,9,1,8,6,6
91,B18,U111,9,133,8,6,6
92,B19,U111,9,45,8,6,6
93,B21,U111,9,75,8,6,6
94,B21,U113,9,4,8,6,6
95,B22,U111,9,168,8,6,6
96,B22,U113,9,1,8,6,6
97,B23,U111,9,16,8,6,6
98,B23,U113,9,1,8,6,6
99,B31,U111,9,44,8,6,6
100,B32,U111,9,798,8,6,6
101,B33,U111,9,68,8,6,6
102,B35,U111,9,57,8,6,6
103,B37,U111,9,18,8,6,6
104,B41,U111,9,69,8,6,6
105,B43,U111,9,17,8,6,6
106,B43,U113,9,4,8,6,6
107,B44,U111,9,2,8,6,6
108,B44,U113,9,3,8,6,6
109,B44,U370,1,2,8,6,6
110,B45,U111,9,6,8,6,6
111,B51,U111,9;13,107,8;18,2;6,6;9
112,B52,U111,9;13,111,8;18,2;6,6;9
113,B53,U111,9;13,55,8;18,2;6,6;9
114,B54,U111,9;13,12,8;18,2;6,6;9
115,B55,U111,13,114,10,2,9
116,B55,U113,13,1,10,2,9
117,B55,U350,13,1,10,2,9
118,B55,U415,13,1,10,2,9
119,B71,U111,10,31,9,7,7
120,B71,U113,5,48,7,3,3
121,B71,U350,-1,1,-1,-1,-1
122,B71,U415,11,3,11,3,3
123,B72,U111,10,8,9,7,7
124,B72,U113,5,3,7,3,3
125,B72,U415,11,3,11,3,3
126,B73,U111,10,10,9,7,7
127,B73,U113,5,13,7,3,3
128,B73,U350,-1,1,-1,-1,-1
129,B73,U414,5,1,7,3,3
130,B73,U415,11,2,11,3,3
131,B74,U111,10,2,9,7,7
132,B74,U113,5,6,7,3,3
133,B74,U415,11,1,11,3,3
134,B75,U111,10,20,9,7,7
135,B75,U113,5,29,7,3,3
136,B75,U415,11,5,11,3,3
137,B82,U111,10,24,9,7,7
138,B82,U113,10,1,9,7,7
139,B83,U111,14,6,13,8,8
140,B83,U120,14,1,13,8,8
141,B84,U111,11,2,13,8,8
142,Bx1,U111,9,334,8,6,6
143,Bx1,U112,-1,2,-1,-1,-1
144,Bx1,U113,-1,8,-1,-1,-1
145,Bx1,U350,-1,1,-1,-1,-1
146,Bx2,U111,-1,8,-1,-1,-1
147,Bx2,U113,-1,12,-1,-1,-1
148,Bx2,U415,-1,1,-1,-1,-1
149,C10,U111,11,49,11,3,3
150,C10,U120,11,1594,11,3,3
151,C10,U140,11,5,11,3,3
152,C10,U311,11,4,11,3,3
153,C10,U312,11,21,11,3,3
154,C10,U317,11,2,11,3,3
155,C10,U341,5,2,7,3,2
156,C10,U350,11,27,11,3,3
157,C10,U361,5,32,7,3,2
158,C10,U362,5,3,7,3,2
159,C10,U370,5,59,7,3,2
160,C10,U411,5,1,7,3,2
161,C10,U413,11,1,11,3,3
162,C10,U414,5,4,7,3,2
163,C10,U415,11,4,11,3,3
164,C10,U420,11,208,11,3,3
165,C21,U111,12,2,12,4,4
166,C21,U120,12,1314,12,4,4
167,C21,U312,12,1,12,4,4
168,C21,U317,12,1,12,4,4
169,C21,U350,12,4,12,4,4
170,C21,U361,6,1,7,4,2
171,C21,U370,6,4,7,4,2
172,C21,U415,6,1,7,4,2
173,C21,U420,12,12,12,4,4
