,POINT_ID,LC1,LU1,geometry,NUTS0
0,47942920,B71,U113,POINT (609190.449797935 5451315.804708575),CZ
1,49382996,E20,U111,POINT (758073.7318789902 5517178.682192728),CZ
2,44903010,C10,U120,POINT (311949.59895942 5561708.852874374),CZ
3,45322948,B15,U111,POINT (349700.5602164893 5497018.178127904),CZ
4,45322990,E20,U120,POINT (352509.8340919371 5538918.824441114),CZ
5,45323000,E20,U111,POINT (353180.6319874969 5548894.650399102),CZ
6,45123028,C21,U120,POINT (335109.7183678501 5578180.109351072),CZ
7,45182930,C31,U120,POINT (334534.4610324221 5480000.578701918),CZ
8,45163020,F40,U140,POINT (338562.1238650756 5569928.476187758),CZ
9,44942994,B32,U111,POINT (314866.7594805624 5545474.394951492),CZ
10,45003026,E20,U111,POINT (323002.7028291881 5576996.742140664),CZ
11,45203006,E20,U111,POINT (341611.8707395276 5555691.319247595),CZ
12,45203012,C33,U120,POINT (342014.9342522555 5561677.021145599),CZ
13,45082954,B13,U111,POINT (326158.2726412184 5504619.849240498),CZ
14,46202972,F40,U111,POINT (439086.1542554191 5515012.106605496),CZ
15,46203028,B32,U111,POINT (442847.9905301338 5570855.865396176),CZ
16,45542950,B37,U111,POINT (371780.1923991538 5497531.038164207),CZ
17,45543016,E20,U111,POINT (376202.5810762526 5563366.166151172),CZ
18,45543020,B11,U111,POINT (376471.6190255621 5567355.91519145),CZ
19,44862998,C21,U120,POINT (307153.0661451217 5550005.206079878),CZ
20,45742934,C21,U120,POINT (390662.7667867409 5480221.731851553),CZ
21,45742948,C10,U370,POINT (391596.8443427752 5494186.700925125),CZ
22,45742978,C10,U120,POINT (393603.1772553377 5524110.267191437),CZ
23,45743044,B11,U111,POINT (398039.7068686241 5589936.28070885),CZ
24,45302954,E20,U111,POINT (348105.9137611449 5503138.929658039),CZ
25,46003080,E20,U111,POINT (426409.1844962428 5624068.712228471),CZ
26,45802946,E30,U420,POINT (397448.2382044757 5491786.707788307),CZ
27,45802992,E20,U111,POINT (400526.8267541618 5537667.820053565),CZ
28,45982980,B13,U111,POINT (417677.35831627 5524480.835286726),CZ
29,45782994,B11,U111,POINT (398665.9692105339 5539797.981351362),CZ
30,45983074,C10,U120,POINT (424007.921674079 5618221.856173957),CZ
31,45562978,C32,U120,POINT (375647.5920557398 5525326.999353637),CZ
32,46043076,E20,U111,POINT (430128.5937713938 5619807.731737741),CZ
33,45382964,B13,U111,POINT (356754.7147540763 5512576.212851502),CZ
34,45382972,A11,U111,POINT (357289.7917710905 5520557.063834257),CZ
35,45382978,E20,U111,POINT (357691.409115118 5526542.616717774),CZ
36,45762930,C21,U120,POINT (392391.0919702783 5476096.808033179),CZ
37,46023062,E20,U111,POINT (427186.5475516297 5605983.538251953),CZ
38,45342948,B32,U111,POINT (351695.7099579325 5496883.503919367),CZ
39,45602996,B13,U111,POINT (380844.475051721 5543011.102798179),CZ
40,45343004,B15,U111,POINT (355444.3848542479 5552749.697746462),CZ
41,45362982,E20,U111,POINT (355964.1198330905 5530667.985229783),CZ
42,45583002,C21,U120,POINT (379252.1133220497 5549131.131281185),CZ
43,45882954,E20,U111,POINT (405962.4513352464 5499225.811133701),CZ
44,46062980,D10,U420,POINT (425657.3310042758 5523938.957726222),CZ
45,45622970,C32,U120,POINT (381097.2694531262 5516941.688776148),CZ
46,45643056,A21,U312,POINT (388873.9739769271 5602583.291141246),CZ
47,46082974,C31,U120,POINT (427250.2784283051 5517819.703609658),CZ
48,45822992,B32,U111,POINT (402521.8701972679 5537532.401445906),CZ
49,45823018,B41,U111,POINT (404268.6245588512 5563463.254953815),CZ
50,45422932,B35,U111,POINT (358609.3060973536 5480382.303355116),CZ
51,45662980,C32,U120,POINT (385756.9517862356 5526646.085958516),CZ
52,45663046,D10,U420,POINT (390194.1143018855 5592474.102273653),CZ
53,45423044,E20,U111,POINT (366117.0900003739 5592107.968027283),CZ
54,45443038,C31,U120,POINT (367707.7759368472 5585987.633644789),CZ
55,45522934,B32,U111,POINT (368717.8449585353 5481704.377027621),CZ
56,45502954,B52,U111,POINT (368057.1709878618 5501791.051969822),CZ
57,45502996,B11,U111,POINT (370868.8563110257 5543687.537214665),CZ
58,45942916,E20,U111,POINT (409412.7967739613 5460917.961377515),CZ
59,45942986,C10,U120,POINT (414089.58042557 5530735.683536323),CZ
60,45943046,B11,U111,POINT (418125.642337359 5590572.244263933),CZ
61,45943060,B11,U111,POINT (419070.9968927312 5604533.308950563),CZ
62,45943076,E20,U111,POINT (420153.0640124973 5620488.486320141),CZ
63,46122904,B32,U111,POINT (426567.9867727378 5447734.012542293),CZ
64,45922898,E20,U111,POINT (406220.9810323267 5443097.881133712),CZ
65,45922964,G21,U130,POINT (410621.0327206671 5508929.317827711),CZ
66,45923012,C21,U120,POINT (413840.4030394912 5556801.237557902),CZ
67,45482932,C22,U120,POINT (364594.4888696449 5479978.461312536),CZ
68,45482954,B31,U111,POINT (366062.0870011676 5501925.908630464),CZ
69,45723028,B22,U111,POINT (394966.2392328168 5574114.79509245),CZ
70,46162888,B16,U111,POINT (429494.3974848647 5431505.058752729),CZ
71,46162910,A11,U370,POINT (430956.7877182409 5453448.428424026),CZ
72,46162926,C10,U420,POINT (432022.4679489007 5469406.551696111),CZ
73,45682922,E20,U111,POINT (383878.4339472443 5468655.664689696),CZ
74,45902998,B11,U111,POINT (410904.7138143942 5542974.552811011),CZ
75,45903070,C10,U370,POINT (415756.8665703712 5614777.49634108),CZ
76,46242984,C31,U120,POINT (443880.4423324484 5526707.798558094),CZ
77,46782866,B52,U111,POINT (489871.74263034 5405371.950465521),CZ
78,46822966,B51,U111,POINT (500529.4719994655 5504820.247085488),CZ
79,46823078,B16,U111,POINT (508075.1826896278 5616485.115896545),CZ
80,46183046,B11,U111,POINT (442066.6178624046 5588940.619380293),CZ
81,46782962,B11,U111,POINT (496271.3492658443 5501103.79139236),CZ
82,46783052,E20,U420,POINT (502325.83012266 5590837.166669559),CZ
83,46982934,B51,U111,POINT (514348.7916325917 5471824.865720821),CZ
84,46982940,E20,U111,POINT (514749.844140614 5477807.54255359),CZ
85,46982946,E20,U111,POINT (515151.1292391556 5483790.150837697),CZ
86,46623086,C10,U120,POINT (488664.8406862928 5625825.374578687),CZ
87,46983054,C10,U420,POINT (522413.7192267728 5591466.929985926),CZ
88,46422924,C21,U120,POINT (457822.4548788397 5465652.929363884),CZ
89,46423090,C31,U120,POINT (468984.2310134011 5631177.518641396),CZ
90,46423098,B71,U113,POINT (469526.789991315 5639153.630755094),CZ
91,46602898,C32,U120,POINT (474044.4487743995 5438504.654111624),CZ
92,46603036,B11,U111,POINT (483289.1023906886 5576111.569297967),CZ
93,46402976,C21,U120,POINT (459303.9981638269 5517644.656230863),CZ
94,46803018,B35,U111,POINT (502027.5825313178 5556803.103362765),CZ
95,46803024,B13,U111,POINT (502431.7720359482 5562785.164886385),CZ
96,46223094,E20,U312,POINT (449304.1105908364 5636529.395113528),CZ
97,46643008,B35,U111,POINT (485393.3650350894 5547921.868385292),CZ
98,46863056,B73,U113,POINT (510577.1319648316 5594279.466658516),CZ
99,46643060,C23,U120,POINT (488900.0774824075 5599767.432682273),CZ
100,46682852,C21,U120,POINT (478970.0114994048 5392086.054564087),CZ
101,46682942,B32,U111,POINT (484958.1131617189 5481840.26446118),CZ
102,46442878,B73,U113,POINT (456757.1471927795 5419640.423457416),CZ
103,46462954,E20,U111,POINT (463815.8231928685 5495299.249170464),CZ
104,46462980,E20,U111,POINT (465557.1981131557 5521226.084661471),CZ
105,46663040,A22,U312,POINT (489544.4108993581 5579691.033662766),CZ
106,46463066,A11,U317,POINT (471349.3628603279 5606976.224110216),CZ
107,46282908,A21,U370,POINT (442792.6484646226 5450642.889139638),CZ
108,46282948,C32,U120,POINT (445460.2243604448 5490535.685620035),CZ
109,46262900,B11,U111,POINT (440265.6563656603 5442799.0283818),CZ
110,46262952,B16,U111,POINT (443732.6545849625 5494660.249736216),CZ
111,46283092,E20,U111,POINT (455153.8644944812 5634126.208588675),CZ
112,46283108,C23,U120,POINT (456239.559696301 5650078.975512598),CZ
113,46882926,C21,U120,POINT (503839.2891904179 5464527.472588257),CZ
114,46882946,B51,U111,POINT (505175.7238501268 5484470.197165518),CZ
115,46882976,C21,U120,POINT (507185.2563820861 5514382.884283794),CZ
116,46482904,C21,U120,POINT (462474.6990422643 5445300.854427243),CZ
117,46483000,B13,U111,POINT (468894.8608573895 5541033.076538847),CZ
118,46483082,C31,U120,POINT (474427.5485020436 5622792.261273508),CZ
119,46562940,E20,U111,POINT (472854.7132671934 5480660.112490401),CZ
120,46342870,C21,U120,POINT (446252.8352414198 5412336.536647839),CZ
121,46562978,C10,U120,POINT (475398.1791136932 5518552.66868984),CZ
122,46562984,B32,U111,POINT (475800.6599356483 5524535.464044394),CZ
123,46343028,B11,U111,POINT (456813.4573862249 5569904.160200579),CZ
124,46343050,B11,U111,POINT (458297.3591713599 5591840.46120112),CZ
125,46302978,B51,U111,POINT (449463.1060744722 5520317.51245645),CZ
